ID(ignored),x,y
0,0.0,300.0
1,3.618726274373635,236.7608603963594
2,3.618726274373635,179.4095318433954
3,16.288485870116695,113.23492197389923
4,52.49261914840206,24.99367355508821
5,54.29776465494843,291.9443272880128
6,54.29776465494843,238.99620413353244
7,57.91649093171951,184.58878110530742
8,71.29481231442912,126.14930409104772
9,154.55082243763476,52.619148038846184
10,225.14550822398078,107.035006326554
11,163.60185575660674,251.15141290621813
12,121.97385069500393,232.03711514112504
13,125.592576971775,205.56727119392593
14,60.286798819418856,150.88148460576488
15,108.24968367649576,164.11640657966413
16,128.16533108466444,130.2910164485609
17,155.12442007527375,201.29059468588645
18,190.41754533900504,212.32391396054388
19,216.21256853656948,225.92998734689203
20,179.55293125220578,142.10037958664677
21,213.94348376266387,147.2458878112269
22,295.39434837692573,174.08688317147428
23,261.91480388102167,154.6014339939323
24,273.2264867150158,139.89877688740498
25,236.16195698027195,97.79839730075821
26,177.34289329288183,29.05103331897198
27,63.762125685581466,0.0